"";"bzrID";"bzrNAME";"GESIx_2013";"GESIx_2022";"ESIx_2013";"ESIx_2022";"DI_2013";"DI_2022";"DII_2013";"DII_2022";"DIII_2013";"DIII_2022"
"111";100206;"Hellersdorf Süd";-0,42437762;-0,61344582;-0,4157033;-0,29945725;-0,72180855;-0,38450152;-0,037243426;-0,1888473;-0,33268967;-1,2812613
"112";100307;"Biesdorf";1,1963993;0,83750969;1,1664251;1,0666108;1,1771175;1,1096581;1,0107902;0,94242096;1,0245699;0,050357569
"113";100408;"Kaulsdorf";1,5487896;1,1880882;1,2514101;1,2437763;1,2051234;1,180575;1,1461488;1,2166849;1,9481052;0,78735787
"114";100409;"Mahlsdorf";1,7098403;1,5594344;1,4877957;1,4716382;1,4449821;1,486866;1,3495983;1,3461409;1,8965943;1,4384007
"115";110101;"Malchow, Wartenberg und Falkenberg";1,2881858;1,46041;1,1920034;1,1215392;1,3266201;1,0613015;0,90079671;1,1004823;1,244947;2,0235214
"116";110102;"Neu-Hohenschönhausen Nord";-0,86869371;-1,0252662;-0,77855003;-0,84081399;-1,2878958;-1,1678865;-0,13807313;-0,43858883;-0,86372715;-1,2330325
"117";110103;"Neu-Hohenschönhausen Süd";-0,76910067;-1,111589;-0,67272288;-0,92954975;-1,1906505;-1,1138833;-0,03616026;-0,66889745;-0,79843581;-1,3127075
"118";110204;"Alt-Hohenschönhausen Nord";0,23187396;-0,071784653;0,2692433;-0,1994272;0,38917366;-0,66947228;0,10781337;0,30342132;0,085450113;0,33774924
"119";110205;"Alt-Hohenschönhausen Süd";0,30354053;0,20655376;0,51595956;0,28028014;0,25012597;0,058388501;0,73620486;0,48974964;-0,24153981;-0,0016419996
"120";110306;"Fennpfuhl";-0,3623991;-0,56965852;-0,3505322;-0,22506344;-0,79295015;-0,29683834;0,16551651;-0,13377418;-0,27912548;-1,3284686
"121";110307;"Alt-Lichtenberg";-0,55648756;-0,33546603;0,011991455;0,39499888;-0,27519608;0,212439;0,31736058;0,55508494;-1,7745101;-2,1340539
"122";110308;"Frankfurter Allee Süd";-0,29899564;-1,0154074;-0,067887507;-0,4997718;-0,42467877;-0,2298781;0,32172698;-0,74271554;-0,75872731;-2,1643546
"123";110409;"Neu-Lichtenberg";-0,25371602;-0,17619053;-0,07389719;0,29153076;-0,30685222;0,26692638;0,18414479;0,29534492;-0,61100137;-1,3486068
"124";110410;"Friedrichsfelde Nord";-0,82946658;-0,77153724;-0,72067201;-0,44537452;-1,3050643;-0,74219072;-0,007165716;-0,10403451;-0,87044823;-1,4078497
"125";110411;"Friedrichsfelde Süd";-0,23432244;-0,44359046;-0,098936982;-0,24745457;-0,30707768;-0,30422306;0,1356874;-0,17007552;-0,49172613;-0,84682506
"126";110512;"Rummelsburger Bucht";0,29780969;0,59454608;0,83596021;0,49398294;0,74863577;0,22176188;0,82591045;0,73977429;-1,0382034;0,7593441
"127";110513;"Karlshorst";1,0648681;1,1022104;1,1740565;1,2122892;1,1109191;1,0968655;1,0963633;1,2417603;0,59422183;0,58620644
"128";121031;"Ost 1";-1,1633484;-1,2138485;-1,234055;-1,1225804;-1,3638965;-1,2775762;-0,94275153;-0,87799793;-0,7478686;-1,1603063
"129";121032;"Ost 2";-0,72653943;-0,84727567;-0,60779268;-0,57549793;-0,89067775;-0,76945567;-0,23039399;-0,33124304;-0,83810401;-1,3390405
"130";122141;"West 1";-0,1657725;-0,41681233;-0,14069833;-0,36288309;-0,19977418;-0,50207782;-0,060182367;-0,1913285;-0,18688303;-0,44575945
"131";122144;"West 4";-1,1801966;-1,1938446;-1,0310781;-1,2213087;-1,2880064;-1,6350707;-0,62908083;-0,70072562;-1,2745131;-0,80221587
"132";122145;"West 5";0,5327794;0,25628495;0,50306171;0,57169354;0,76556957;0,501252;0,16038394;0,60221243;0,47306731;-0,61071402
"133";122242;"West 2";1,7075129;1,4624074;1,4549712;1,3243119;1,5488518;1,3047812;1,174778;1,2458804;1,9556704;1,4982027
"134";122311;"Nord 1";1,5333982;1,3050873;1,5096426;1,3261105;1,5962602;1,3568361;1,2304505;1,1953708;1,27192;0,9559654
"135";123012;"Nord 2";0,5948804;0,28975177;0,68773061;0,46131724;0,64835221;0,27203479;0,64477825;0,62343943;0,25635871;-0,19539349
"136";123021;"MV 1";-1,2919635;-1,6786519;-1,2117213;-1,5584825;-1,4727345;-1,9903939;-0,78302586;-0,99392605;-1,1990499;-1,5601981
"137";123022;"MV 2";-0,62111717;-1,2489887;-0,87864596;-1,5683907;-0,41515854;-1,8218987;-1,2652382;-1,1883079;0,078820482;-0,1079403
"138";123043;"West 3";0,35646114;0,39578158;0,30416253;0,25977537;0,31491947;0,32655782;0,25506407;0,17108189;0,40802255;0,65215248
